C:\Users\me\OneDrive - William Rainey Harper College\Fall 2026\MTH 200\Notes\Ch. 5 TEST\Worksheets\5.1 Riemann Sum Worksheet.docx|1|A graph of the objects velocity over time.
C:\Users\me\OneDrive - William Rainey Harper College\Fall 2026\MTH 200\Notes\Ch. 5 TEST\Worksheets\5.1 Riemann Sum Worksheet_Solutions.docx|1|A graph y=e^x.  The area between the curve and the x-axis on [-1,2] is being estimated using 6 right endpoint rectangles.
C:\Users\me\OneDrive - William Rainey Harper College\Fall 2026\MTH 200\Notes\Ch. 5 TEST\Worksheets\5.1 Riemann Sum Worksheet_Solutions.docx|2|A graph y=e^x.  The area between the curve and the x-axis on [-1,2] is being estimated using 3 midpoint rectangles.
C:\Users\me\OneDrive - William Rainey Harper College\Fall 2026\MTH 200\Notes\Ch. 5 TEST\Worksheets\5.1 Riemann Sum Worksheet_Solutions.docx|3|A graph y=x^3.  The area between the curve and the x-axis on [-1,3] is being estimated using 3 right endpoint rectangles.
C:\Users\me\OneDrive - William Rainey Harper College\Fall 2026\MTH 200\Notes\Ch. 5 TEST\Worksheets\5.1 Riemann Sum Worksheet_Solutions.docx|4|A graph a possible velocity curve here.  The area between the curve and the x-axis on [0,8] is being estimated using 5 left  endpoint rectangles.
C:\Users\me\OneDrive - William Rainey Harper College\Fall 2026\MTH 200\Notes\Ch. 5 TEST\Worksheets\5.1 Riemann Sum Worksheet_Solutions.docx|5|A graph y=sqrt(x+1).  The area between the curve and the x-axis on [-1,0] is being estimated using 4 left endpoint rectangles.
C:\Users\me\OneDrive - William Rainey Harper College\Fall 2026\MTH 200\Notes\Ch. 5 TEST\Worksheets\5.1 Riemann Sum Worksheet_Solutions.docx|6|A graph y=sqrt(x+1).  The area between the curve and the x-axis on [-1,0] is being estimated using 4 midpoint rectangles.
C:\Users\me\OneDrive - William Rainey Harper College\Fall 2026\MTH 200\Notes\Ch. 5 TEST\Worksheets\5.1 Riemann Sum Worksheet_Solutions.docx|7|A graph of the objects velocity over time.
C:\Users\me\OneDrive - William Rainey Harper College\Fall 2026\MTH 200\Notes\Ch. 5 TEST\Worksheets\5.1 Riemann Sum Worksheet_Solutions.docx|8|A graph of the objects velocity over time with the area under the curve being shaded from t=0 to t=20.
C:\Users\me\OneDrive - William Rainey Harper College\Fall 2026\MTH 200\Notes\Ch. 5 TEST\Worksheets\5.2.1 Definite Integral Worksheet_Solutions.docx|1|Area under the curve of f(x) = ln(x) on [1,e] being approximated by many right endpoint rectangles.
C:\Users\me\OneDrive - William Rainey Harper College\Fall 2026\MTH 200\Notes\Ch. 5 TEST\Worksheets\5.2.2 Properties of the Definite Integral Worksheet.docx|1|A picture of the function f(x) for this question.  The area under it is broken down into 3 regions.  R1 is a semi-circle. R2 & R3 are triangles.
C:\Users\me\OneDrive - William Rainey Harper College\Fall 2026\MTH 200\Notes\Ch. 5 TEST\Worksheets\5.2.2 Properties of the Definite Integral Worksheet_Solutions.docx|1|A picture of the function f(x) for this question.  The area under it is broken down into 3 regions.  R1 is a semi-circle. R2 & R3 are triangles.
C:\Users\me\OneDrive - William Rainey Harper College\Fall 2026\MTH 200\Notes\Ch. 5 TEST\Worksheets\5.2.3 Average Value Worksheet_Solutions.docx|1|A picture of f(x) = 10x+3 with the area between the curve and the x-axis being shaded on [1,3].
C:\Users\me\OneDrive - William Rainey Harper College\Fall 2026\MTH 200\Notes\Ch. 5 TEST\Worksheets\5.2.3 Average Value Worksheet_Solutions.docx|2|A picture of f(x) = |x|+2 with the area between the curve and the x-axis being shaded on [-2,4].
C:\Users\me\OneDrive - William Rainey Harper College\Fall 2026\MTH 200\Notes\Ch. 5 TEST\Worksheets\5.3.1 The Fundamental Theorem Worksheet_Solutions.docx|1|A graph of y=x^2 on the interval [0,1].  The area between the curve and the x-axis is shaded.
C:\Users\me\OneDrive - William Rainey Harper College\Fall 2026\MTH 200\Notes\Ch. 5 TEST\Worksheets\5.3.1 The Fundamental Theorem Worksheet_Solutions.docx|2|A number line graph to show the behavior p'(x) in this question.
C:\Users\me\OneDrive - William Rainey Harper College\Fall 2026\MTH 200\Notes\Ch. 5 TEST\Worksheets\5.3.1 The Fundamental Theorem Worksheet_Solutions.docx|3|A number line graph to show the behavior w'(x) in this question.
C:\Users\me\OneDrive - William Rainey Harper College\Fall 2026\MTH 200\Notes\Ch. 5 TEST\Worksheets\Summary of Integration Worksheet_Solutions.docx|1|FIX THIS
